Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 3V3_uC1, CLK1, CS1, GND1, INT1, MISO1, MOSI1, RES1, SWCLK1, SWDIO1, SWGND1, SWO1, UART_GND1, UART_RX1, UART_TX1, uC_NRST1",TestPoint_Special_THTPad_D1.9mm_Drill1mm,17,~,
"C1, C32, C33, C4, C5",0805,5,1.5nF,C1717
"C10, C2, C3",0805,3,220pF,C107145
"C11, C13, C16, C18, C20, C21, C23, C25, C28, C31, C34, C35, C37, C38, C39, C40, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C55, C56, C57, C58, C59, C60, C61, C64, C73, C74, C75, C77, C78, C79, C80, C81, C83, C9",0805,46,100nF,C49678
C14,0805,1,1uF,C28323
"C15, C72",0805,2,22nF,C1729
"C17, C29",0603,2,6.8pF,C1679
"C19, C22, C24, C26, C30, C36, C65, C82",0805,8,10uF 25V,C15850
"C27, C62, C63",0805,3,22pF,C1804
"C41, C54, C66, C67, C69, C70",1210,6,22uF,C12891
C68,0805,1,47pF,C14857
"C71, C76",0805,2,1nF,C46653
D10,0805,1,ALIVE,C2296
D11,0805,1,STATEC,C2296
D12,0805,1,CONTACTOR1,C2296
D13,D_SMB_Handsoldering,1,SS54,C22452
"D14, D16, D18, D19, D20, D21, D3, D4",D_SOD-123,8,B5819W,C8598
D15,0805,1,UARTTX,C2296
"D2, D22, D23",SOT-23,3,BAV99,C2500
D5,D_SMA,1,3V9,C438352
D8,D_SOD-323,1,1N5819WS,C191023
D9,0805,1,PWR,C2296
"H1, H2, H4",MountingHole_3.5mm_Pad,3,MountingHole,
"IC1, IC2",SOP65P640X120-17N,2,DRV8874QPWPRQ1,C1855818
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"J2, J3, J4, J5",PinHeader_1x06_P2.54mm_Vertical,4,Conn_01x06_Pin,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,EN_LOW,
JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,EN_HIGH,
JP3,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_3_Open,
L1,0805,1,270nH,C281081
"L10, L12, L2, L9",0805,4,Bead 600,C1017
L11,1206,1,4.7uH,C162588
L13,L_6.3x6.3_H3,1,10uH,C408412
"L3, L4, L5",0603,3,1.8uH,C78153
"PB12, PB13, PB5, PB6, TP11, TP12, TP13, TP14, TP26, TP27, TP28, TP29, TP30, TP31, TP38",TestPoint_THTPad_D1.0mm_Drill0.5mm,15,~,
"Q1, Q12, Q13, Q3, Q7, Q8",SOT-23,6,2N7002,C8545
"Q11, Q2, Q9",SOT-23,3,AO3401A,C15127
"Q4, Q5, Q6",SOT-23,3,DTA143Z,C2910150
R1,0805,1,22,C17561
"R10, R31, R33, R35, R49, R54, R69, R7",0805,8,10k,C17414
"R11, R12, R13, R14, R21, R22, R45, R46, R47",0805,9,220,C17557
"R15, R5",0805,2,33,C17634
"R16, R17, R18, R19, R20, R37, R48, R52, R64",0805,9,1k,C17513
"R23, R56, R58, R66",0805,4,100k,C149504
R24,0805,1,33k,C17633
"R25, R8",0805,2,100,C17408
"R26, R30, R51",0805,3,2k7,C17530
R27,0805,1,1k2,C17379
"R28, R32, R34, R36, R41, R55, R57, R61, R63",0805,9,47k,C17713
"R29, R50",0805,2,560,C28636
"R3, R4, R60, R65",0805,4,3.3K,C26010
"R38, R42, R53",0805,3,22k,C17560
"R39, R40",0805,2,240,C17572
R43,1206,1,0,C17888
"R59, R71",0805,2,330,C23138
R6,0805,1,6k2,C4260
R62,0805,1,18k,C25810
R67,0805,1,1M,C22935
R9,0805,1,2.2k,C17520
TP1,TestPoint_Pad_D1.0mm,1,1V2,
"TP10, TP15, TP16, TP17, TP18, TP20, TP21, TP22, TP25, TP3, TP34, TP35, TP4, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP6, TP60, TP61, TP62, TP63, TP64, TP7, TP9",TestPoint_Special_THTPad_D1.9mm_Drill1mm,34,TestPoint,
TP2,TestPoint_Pad_D1.0mm,1,TXOUTP,
TP3V3uC1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP3V3uC,
TP5V1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TP5V,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,25Q16,C115407
"U10, U5",SMA_UNI_STM,2,SMAJ16A-TR,C908770
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F103RETx,C8322
U4,SOT-23-6,1,TPS54302,C311983
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,QFN-68-1EP_8x8mm_P0.4mm_EP5.2x5.2mm_ThermalVias,1,QCA 7000,C9900078626
U9,X1-DFN1006-2_RH_DIO,1,DESD3V3S1BL-7B,C500765
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,25MHz,C9006
Y2,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,8MHz,none
Y3,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
